competitor,chroma_subsampling,quality,criterion,images,jpegli_better,competitor_better,tied_or_mixed
turbojpeg,420,55,all_four,30,0,10,20
turbojpeg,420,60,ssimulacra2,30,11,19,0
turbojpeg,420,60,butteraugli,30,13,17,0
turbojpeg,420,60,cvvdp_jod,30,3,27,0
turbojpeg,420,60,dists,30,1,29,0
turbojpeg,420,60,all_four,30,0,9,21
turbojpeg,420,65,ssimulacra2,30,7,23,0
turbojpeg,420,65,butteraugli,30,19,11,0
turbojpeg,420,65,cvvdp_jod,30,1,29,0
turbojpeg,420,65,dists,30,1,29,0
turbojpeg,420,65,all_four,30,0,7,23
turbojpeg,420,70,ssimulacra2,30,13,17,0
turbojpeg,420,70,butteraugli,30,16,14,0
turbojpeg,420,70,cvvdp_jod,30,2,28,0
turbojpeg,420,70,dists,30,2,28,0
turbojpeg,420,70,all_four,30,0,8,22
turbojpeg,420,75,ssimulacra2,30,17,13,0
turbojpeg,420,75,butteraugli,30,14,16,0
turbojpeg,420,75,cvvdp_jod,30,3,27,0
turbojpeg,420,75,dists,30,2,28,0
turbojpeg,420,75,all_four,30,0,6,24
turbojpeg,420,80,ssimulacra2,30,18,12,0
turbojpeg,420,80,butteraugli,30,13,17,0
turbojpeg,420,80,cvvdp_jod,30,6,24,0
turbojpeg,420,80,dists,30,2,28,0
turbojpeg,420,80,all_four,30,0,7,23
turbojpeg,420,85,ssimulacra2,30,24,6,0
turbojpeg,420,85,butteraugli,30,12,18,0
turbojpeg,420,85,cvvdp_jod,30,14,16,0
turbojpeg,420,85,dists,30,1,29,0
turbojpeg,420,85,all_four,30,0,3,27
turbojpeg,420,90,ssimulacra2,30,25,5,0
turbojpeg,420,90,butteraugli,30,11,19,0
turbojpeg,420,90,cvvdp_jod,30,24,6,0
turbojpeg,420,90,dists,30,2,28,0
turbojpeg,420,90,all_four,30,0,0,30
turbojpeg,420,95,ssimulacra2,30,28,2,0
turbojpeg,420,95,butteraugli,30,18,12,0
turbojpeg,420,95,cvvdp_jod,30,27,3,0
turbojpeg,420,95,dists,30,2,28,0
turbojpeg,420,95,all_four,30,0,1,29
turbojpeg,420,100,ssimulacra2,30,30,0,0
turbojpeg,420,100,butteraugli,30,20,10,0
turbojpeg,420,100,cvvdp_jod,30,27,2,1
turbojpeg,420,100,dists,30,8,22,0
turbojpeg,420,100,all_four,30,6,0,24
apple_imageio,444,25,ssimulacra2,30,5,25,0
apple_imageio,444,25,butteraugli,30,7,23,0
apple_imageio,444,25,cvvdp_jod,30,0,30,0
apple_imageio,444,25,dists,30,0,30,0
apple_imageio,444,25,all_four,30,0,20,10
apple_imageio,444,30,ssimulacra2,30,4,26,0
apple_imageio,444,30,butteraugli,30,11,19,0
apple_imageio,444,30,cvvdp_jod,30,0,30,0
apple_imageio,444,30,dists,30,0,30,0
apple_imageio,444,30,all_four,30,0,16,14
apple_imageio,444,35,ssimulacra2,30,6,24,0
apple_imageio,444,35,butteraugli,30,9,21,0
apple_imageio,444,35,cvvdp_jod,30,1,29,0
apple_imageio,444,35,dists,30,0,30,0
apple_imageio,444,35,all_four,30,0,16,14
apple_imageio,444,40,ssimulacra2,30,5,25,0
apple_imageio,444,40,butteraugli,30,8,22,0
apple_imageio,444,40,cvvdp_jod,30,1,29,0
apple_imageio,444,40,dists,30,2,28,0
apple_imageio,444,40,all_four,30,0,18,12
apple_imageio,444,45,ssimulacra2,30,1,29,0
apple_imageio,444,45,butteraugli,30,6,24,0
apple_imageio,444,45,cvvdp_jod,30,1,29,0
apple_imageio,444,45,dists,30,1,29,0
apple_imageio,444,45,all_four,30,0,22,8
apple_imageio,444,50,ssimulacra2,30,3,27,0
apple_imageio,444,50,butteraugli,30,6,24,0
apple_imageio,444,50,cvvdp_jod,30,0,30,0
apple_imageio,444,50,dists,30,0,30,0
apple_imageio,444,50,all_four,30,0,22,8
apple_imageio,444,55,ssimulacra2,30,9,21,0
apple_imageio,444,55,butteraugli,30,8,22,0
apple_imageio,444,55,cvvdp_jod,30,1,29,0
apple_imageio,444,55,dists,30,1,29,0
apple_imageio,444,55,all_four,30,0,15,15
apple_imageio,444,60,ssimulacra2,30,4,26,0
apple_imageio,444,60,butteraugli,30,9,21,0
apple_imageio,444,60,cvvdp_jod,30,0,30,0
apple_imageio,444,60,dists,30,0,30,0
apple_imageio,444,60,all_four,30,0,19,11
apple_imageio,444,65,ssimulacra2,30,6,24,0
apple_imageio,444,65,butteraugli,30,9,21,0
apple_imageio,444,65,cvvdp_jod,30,1,29,0
apple_imageio,444,65,dists,30,1,29,0
apple_imageio,444,65,all_four,30,0,15,15
apple_imageio,444,70,ssimulacra2,30,21,9,0
apple_imageio,444,70,butteraugli,30,8,22,0
apple_imageio,444,70,cvvdp_jod,30,3,27,0
apple_imageio,444,70,dists,30,2,28,0
apple_imageio,444,70,all_four,30,0,7,23
apple_imageio,444,75,ssimulacra2,30,19,11,0
apple_imageio,444,75,butteraugli,30,8,22,0
apple_imageio,444,75,cvvdp_jod,30,2,28,0
apple_imageio,444,75,dists,30,1,29,0
apple_imageio,444,75,all_four,30,0,8,22
apple_imageio,444,80,ssimulacra2,30,22,8,0
apple_imageio,444,80,butteraugli,30,5,25,0
apple_imageio,444,80,cvvdp_jod,30,4,26,0
apple_imageio,444,80,dists,30,1,29,0
apple_imageio,444,80,all_four,30,0,6,24
apple_imageio,444,85,ssimulacra2,30,24,6,0
apple_imageio,444,85,butteraugli,30,16,14,0
apple_imageio,444,85,cvvdp_jod,30,7,23,0
apple_imageio,444,85,dists,30,1,29,0
apple_imageio,444,85,all_four,30,0,4,26
apple_imageio,444,90,ssimulacra2,30,27,3,0
apple_imageio,444,90,butteraugli,30,13,17,0
apple_imageio,444,90,cvvdp_jod,30,10,20,0
apple_imageio,444,90,dists,30,2,28,0
apple_imageio,444,90,all_four,30,1,3,26
apple_imageio,444,95,ssimulacra2,30,30,0,0
apple_imageio,444,95,butteraugli,30,24,6,0
apple_imageio,444,95,cvvdp_jod,30,15,15,0
apple_imageio,444,95,dists,30,1,29,0
apple_imageio,444,95,all_four,30,0,0,30
apple_imageio,444,100,ssimulacra2,30,30,0,0
apple_imageio,444,100,butteraugli,30,30,0,0
apple_imageio,444,100,cvvdp_jod,30,24,0,6
apple_imageio,444,100,dists,30,28,2,0
apple_imageio,444,100,all_four,30,23,0,7
apple_imageio,422,25,ssimulacra2,30,5,25,0
apple_imageio,422,25,butteraugli,30,13,17,0
apple_imageio,422,25,cvvdp_jod,30,0,30,0
apple_imageio,422,25,dists,30,0,30,0
apple_imageio,422,25,all_four,30,0,14,16
apple_imageio,422,30,ssimulacra2,30,2,28,0
apple_imageio,422,30,butteraugli,30,13,17,0
apple_imageio,422,30,cvvdp_jod,30,0,30,0
apple_imageio,422,30,dists,30,0,30,0
apple_imageio,422,30,all_four,30,0,15,15
apple_imageio,422,35,ssimulacra2,30,6,24,0
apple_imageio,422,35,butteraugli,30,14,16,0
apple_imageio,422,35,cvvdp_jod,30,1,29,0
apple_imageio,422,35,dists,30,0,30,0
apple_imageio,422,35,all_four,30,0,12,18
apple_imageio,422,40,ssimulacra2,30,5,25,0
apple_imageio,422,40,butteraugli,30,12,18,0
apple_imageio,422,40,cvvdp_jod,30,2,28,0
apple_imageio,422,40,dists,30,1,29,0
apple_imageio,422,40,all_four,30,0,16,14
apple_imageio,422,45,ssimulacra2,30,2,28,0
apple_imageio,422,45,butteraugli,30,11,19,0
apple_imageio,422,45,cvvdp_jod,30,1,29,0
apple_imageio,422,45,dists,30,1,29,0
apple_imageio,422,45,all_four,30,0,17,13
apple_imageio,422,50,ssimulacra2,30,2,28,0
apple_imageio,422,50,butteraugli,30,12,18,0
apple_imageio,422,50,cvvdp_jod,30,0,30,0
apple_imageio,422,50,dists,30,0,30,0
apple_imageio,422,50,all_four,30,0,17,13
apple_imageio,422,55,ssimulacra2,30,8,22,0
apple_imageio,422,55,butteraugli,30,13,17,0
apple_imageio,422,55,cvvdp_jod,30,2,28,0
apple_imageio,422,55,dists,30,2,28,0
apple_imageio,422,55,all_four,30,0,12,18
apple_imageio,422,60,ssimulacra2,30,4,26,0
apple_imageio,422,60,butteraugli,30,18,12,0
apple_imageio,422,60,cvvdp_jod,30,0,30,0
apple_imageio,422,60,dists,30,0,30,0
apple_imageio,422,60,all_four,30,0,11,19
apple_imageio,422,65,ssimulacra2,30,6,24,0
apple_imageio,422,65,butteraugli,30,16,14,0
apple_imageio,422,65,cvvdp_jod,30,2,28,0
apple_imageio,422,65,dists,30,0,30,0
apple_imageio,422,65,all_four,30,0,11,19
apple_imageio,422,70,ssimulacra2,30,24,6,0
apple_imageio,422,70,butteraugli,30,14,16,0
apple_imageio,422,70,cvvdp_jod,30,5,25,0
apple_imageio,422,70,dists,30,3,27,0
apple_imageio,422,70,all_four,30,1,4,25
apple_imageio,422,75,ssimulacra2,30,22,8,0
apple_imageio,422,75,butteraugli,30,11,19,0
apple_imageio,422,75,cvvdp_jod,30,7,23,0
apple_imageio,422,75,dists,30,2,28,0
apple_imageio,422,75,all_four,30,0,5,25
apple_imageio,422,80,ssimulacra2,30,26,4,0
apple_imageio,422,80,butteraugli,30,11,19,0
apple_imageio,422,80,cvvdp_jod,30,15,15,0
apple_imageio,422,80,dists,30,1,29,0
apple_imageio,422,80,all_four,30,0,2,28
apple_imageio,422,85,ssimulacra2,30,27,3,0
apple_imageio,422,85,butteraugli,30,13,17,0
apple_imageio,422,85,cvvdp_jod,30,22,8,0
apple_imageio,422,85,dists,30,2,28,0
apple_imageio,422,85,all_four,30,0,1,29
apple_imageio,422,90,ssimulacra2,30,29,1,0
apple_imageio,422,90,butteraugli,30,18,12,0
apple_imageio,422,90,cvvdp_jod,30,25,5,0
apple_imageio,422,90,dists,30,2,28,0
apple_imageio,422,90,all_four,30,1,1,28
apple_imageio,422,95,ssimulacra2,30,30,0,0
apple_imageio,422,95,butteraugli,30,21,9,0
apple_imageio,422,95,cvvdp_jod,30,26,4,0
apple_imageio,422,95,dists,30,3,27,0
apple_imageio,422,95,all_four,30,1,0,29
apple_imageio,422,100,ssimulacra2,30,30,0,0
apple_imageio,422,100,butteraugli,30,26,4,0
apple_imageio,422,100,cvvdp_jod,30,28,1,1
apple_imageio,422,100,dists,30,19,11,0
apple_imageio,422,100,all_four,30,17,0,13
apple_imageio,420,25,ssimulacra2,30,15,15,0
apple_imageio,420,25,butteraugli,30,9,21,0
apple_imageio,420,25,cvvdp_jod,30,2,28,0
apple_imageio,420,25,dists,30,0,30,0
apple_imageio,420,25,all_four,30,0,9,21
apple_imageio,420,30,ssimulacra2,30,10,20,0
apple_imageio,420,30,butteraugli,30,8,22,0
apple_imageio,420,30,cvvdp_jod,30,1,29,0
apple_imageio,420,30,dists,30,0,30,0
apple_imageio,420,30,all_four,30,0,17,13
apple_imageio,420,35,ssimulacra2,30,12,18,0
apple_imageio,420,35,butteraugli,30,10,20,0
apple_imageio,420,35,cvvdp_jod,30,0,30,0
apple_imageio,420,35,dists,30,0,30,0
apple_imageio,420,35,all_four,30,0,12,18
apple_imageio,420,40,ssimulacra2,30,18,12,0
apple_imageio,420,40,butteraugli,30,9,21,0
apple_imageio,420,40,cvvdp_jod,30,1,29,0
apple_imageio,420,40,dists,30,1,29,0
apple_imageio,420,40,all_four,30,0,8,22
apple_imageio,420,45,ssimulacra2,30,18,12,0
apple_imageio,420,45,butteraugli,30,11,19,0
apple_imageio,420,45,cvvdp_jod,30,2,28,0
apple_imageio,420,45,dists,30,0,30,0
apple_imageio,420,45,all_four,30,0,8,22
apple_imageio,420,50,ssimulacra2,30,18,12,0
apple_imageio,420,50,butteraugli,30,13,17,0
apple_imageio,420,50,cvvdp_jod,30,2,28,0
apple_imageio,420,50,dists,30,0,30,0
apple_imageio,420,50,all_four,30,0,10,20
apple_imageio,420,55,ssimulacra2,30,17,13,0
apple_imageio,420,55,butteraugli,30,13,17,0
apple_imageio,420,55,cvvdp_jod,30,3,27,0
apple_imageio,420,55,dists,30,1,29,0
apple_imageio,420,55,all_four,30,0,11,19
apple_imageio,420,60,ssimulacra2,30,18,12,0
apple_imageio,420,60,butteraugli,30,12,18,0
apple_imageio,420,60,cvvdp_jod,30,3,27,0
apple_imageio,420,60,dists,30,1,29,0
apple_imageio,420,60,all_four,30,0,8,22
apple_imageio,420,65,ssimulacra2,30,13,17,0
apple_imageio,420,65,butteraugli,30,18,12,0
apple_imageio,420,65,cvvdp_jod,30,2,28,0
apple_imageio,420,65,dists,30,1,29,0
apple_imageio,420,65,all_four,30,0,6,24
apple_imageio,420,70,ssimulacra2,30,20,10,0
apple_imageio,420,70,butteraugli,30,14,16,0
apple_imageio,420,70,cvvdp_jod,30,3,27,0
apple_imageio,420,70,dists,30,2,28,0
apple_imageio,420,70,all_four,30,0,6,24
apple_imageio,420,75,ssimulacra2,30,22,8,0
apple_imageio,420,75,butteraugli,30,14,16,0
apple_imageio,420,75,cvvdp_jod,30,5,25,0
apple_imageio,420,75,dists,30,1,29,0
apple_imageio,420,75,all_four,30,0,6,24
apple_imageio,420,80,ssimulacra2,30,24,6,0
apple_imageio,420,80,butteraugli,30,14,16,0
apple_imageio,420,80,cvvdp_jod,30,5,25,0
apple_imageio,420,80,dists,30,1,29,0
apple_imageio,420,80,all_four,30,0,5,25
apple_imageio,420,85,ssimulacra2,30,26,4,0
apple_imageio,420,85,butteraugli,30,14,16,0
apple_imageio,420,85,cvvdp_jod,30,10,20,0
apple_imageio,420,85,dists,30,1,29,0
apple_imageio,420,85,all_four,30,0,3,27
apple_imageio,420,90,ssimulacra2,30,25,5,0
apple_imageio,420,90,butteraugli,30,12,18,0
