image,width,height,quality,chroma_subsampling,progressive_level,jpeg_bytes,bits_per_pixel,jpegli_version,turbojpeg_api,decoder,ssimulacra2,butteraugli,decoded_image,cvvdp_jod,dists
4ebc0e6c463bcf8ada38673c268aae56d44864347fd74b81a9fb5659bf96a010.png,1360,2048,25,444,0,132337,0.380103975,51760c09,3002000,turbojpeg,49.847989562,4.966555595,q025-444-p0/turbojpeg/4ebc0e6c463bcf8ada38673c268aae56d44864347fd74b81a9fb5659bf96a010.png,9.644014359,0.159646273
50d13125b665e0c4c1673264807bfc3cc7a217819329696843fea4c69aff8b91.png,1360,2048,25,444,0,63210,0.181554458,51760c09,3002000,apple_imageio,53.986012097,6.985537052,q025-444-p0/apple_imageio/50d13125b665e0c4c1673264807bfc3cc7a217819329696843fea4c69aff8b91.png,9.658150673,0.090703964
50d13125b665e0c4c1673264807bfc3cc7a217819329696843fea4c69aff8b91.png,1360,2048,25,444,0,63210,0.181554458,51760c09,3002000,jpegli,49.748013295,6.689551353,q025-444-p0/jpegli/50d13125b665e0c4c1673264807bfc3cc7a217819329696843fea4c69aff8b91.png,9.614451408,0.097571015
50d13125b665e0c4c1673264807bfc3cc7a217819329696843fea4c69aff8b91.png,1360,2048,25,444,0,63210,0.181554458,51760c09,3002000,turbojpeg,53.319249947,6.730397224,q025-444-p0/turbojpeg/50d13125b665e0c4c1673264807bfc3cc7a217819329696843fea4c69aff8b91.png,9.640742302,0.090363145
50fe4c3d47d864858e1aaa60fecef5c453b4e18d2b368718eeb5c1e249e0c902.png,2048,1296,25,444,0,292398,0.881311487,51760c09,3002000,apple_imageio,59.163004262,4.850693703,q025-444-p0/apple_imageio/50fe4c3d47d864858e1aaa60fecef5c453b4e18d2b368718eeb5c1e249e0c902.png,9.672608376,0.090945840
50fe4c3d47d864858e1aaa60fecef5c453b4e18d2b368718eeb5c1e249e0c902.png,2048,1296,25,444,0,292398,0.881311487,51760c09,3002000,jpegli,58.629083667,5.115487099,q025-444-p0/jpegli/50fe4c3d47d864858e1aaa60fecef5c453b4e18d2b368718eeb5c1e249e0c902.png,9.647418022,0.098195255
50fe4c3d47d864858e1aaa60fecef5c453b4e18d2b368718eeb5c1e249e0c902.png,2048,1296,25,444,0,292398,0.881311487,51760c09,3002000,turbojpeg,59.131966236,4.860728264,q025-444-p0/turbojpeg/50fe4c3d47d864858e1aaa60fecef5c453b4e18d2b368718eeb5c1e249e0c902.png,9.672531128,0.091107845
581048154e3c4b579c79155742dcf643c18b9bb47782aca7f0768eff185bc32e.png,1456,2048,25,444,0,272502,0.731085809,51760c09,3002000,apple_imageio,52.787234538,5.018778801,q025-444-p0/apple_imageio/581048154e3c4b579c79155742dcf643c18b9bb47782aca7f0768eff185bc32e.png,9.550314903,0.119841516
581048154e3c4b579c79155742dcf643c18b9bb47782aca7f0768eff185bc32e.png,1456,2048,25,444,0,272502,0.731085809,51760c09,3002000,jpegli,52.545656744,4.983096123,q025-444-p0/jpegli/581048154e3c4b579c79155742dcf643c18b9bb47782aca7f0768eff185bc32e.png,9.520274162,0.124102950
581048154e3c4b579c79155742dcf643c18b9bb47782aca7f0768eff185bc32e.png,1456,2048,25,444,0,272502,0.731085809,51760c09,3002000,turbojpeg,52.772734871,5.029068470,q025-444-p0/turbojpeg/581048154e3c4b579c79155742dcf643c18b9bb47782aca7f0768eff185bc32e.png,9.550149918,0.119924784
608cb09e6ffc66d4bc838d4088bf4c0ab889d7e83d4f5d78805cbc4497e432a1.png,1632,2048,25,444,0,306924,0.734633502,51760c09,3002000,apple_imageio,53.929349816,5.165251255,q025-444-p0/apple_imageio/608cb09e6ffc66d4bc838d4088bf4c0ab889d7e83d4f5d78805cbc4497e432a1.png,9.641104698,0.098379076
608cb09e6ffc66d4bc838d4088bf4c0ab889d7e83d4f5d78805cbc4497e432a1.png,1632,2048,25,444,0,306924,0.734633502,51760c09,3002000,jpegli,53.175661969,5.612208366,q025-444-p0/jpegli/608cb09e6ffc66d4bc838d4088bf4c0ab889d7e83d4f5d78805cbc4497e432a1.png,9.606720924,0.105424285
608cb09e6ffc66d4bc838d4088bf4c0ab889d7e83d4f5d78805cbc4497e432a1.png,1632,2048,25,444,0,306924,0.734633502,51760c09,3002000,turbojpeg,53.939532677,5.188157082,q025-444-p0/turbojpeg/608cb09e6ffc66d4bc838d4088bf4c0ab889d7e83d4f5d78805cbc4497e432a1.png,9.641059875,0.098361909
79b1bb29124f590c2e99e6c71c18affe25115d594a821cadc58bf24bf94dae8d.png,2048,1280,25,444,0,245630,0.749603271,51760c09,3002000,apple_imageio,51.160118345,5.641358376,q025-444-p0/apple_imageio/79b1bb29124f590c2e99e6c71c18affe25115d594a821cadc58bf24bf94dae8d.png,9.660125732,0.078653395
79b1bb29124f590c2e99e6c71c18affe25115d594a821cadc58bf24bf94dae8d.png,2048,1280,25,444,0,245630,0.749603271,51760c09,3002000,jpegli,50.098250124,5.961116791,q025-444-p0/jpegli/79b1bb29124f590c2e99e6c71c18affe25115d594a821cadc58bf24bf94dae8d.png,9.627840042,0.085763156
79b1bb29124f590c2e99e6c71c18affe25115d594a821cadc58bf24bf94dae8d.png,2048,1280,25,444,0,245630,0.749603271,51760c09,3002000,turbojpeg,51.463004252,5.617469311,q025-444-p0/turbojpeg/79b1bb29124f590c2e99e6c71c18affe25115d594a821cadc58bf24bf94dae8d.png,9.660371780,0.078592658
8426ed2245c791232862b0a0b2a62a1f17031e8e6e38921fe939df0b3a05ac41.png,2048,2048,25,444,0,101227,0.193075180,51760c09,3002000,apple_imageio,58.232010100,4.001608372,q025-444-p0/apple_imageio/8426ed2245c791232862b0a0b2a62a1f17031e8e6e38921fe939df0b3a05ac41.png,9.727191925,0.146722794
8426ed2245c791232862b0a0b2a62a1f17031e8e6e38921fe939df0b3a05ac41.png,2048,2048,25,444,0,101227,0.193075180,51760c09,3002000,jpegli,57.309225680,4.175641060,q025-444-p0/jpegli/8426ed2245c791232862b0a0b2a62a1f17031e8e6e38921fe939df0b3a05ac41.png,9.716101646,0.164383173
8426ed2245c791232862b0a0b2a62a1f17031e8e6e38921fe939df0b3a05ac41.png,2048,2048,25,444,0,101227,0.193075180,51760c09,3002000,turbojpeg,58.250600684,4.018398285,q025-444-p0/turbojpeg/8426ed2245c791232862b0a0b2a62a1f17031e8e6e38921fe939df0b3a05ac41.png,9.727361679,0.146794677
86127fbdb368eb28c3039cf61aff1c4cfdc4ade24070c8f2389968d5ead681e1.png,2048,976,25,444,0,208553,0.834692783,51760c09,3002000,apple_imageio,53.307131855,5.378376961,q025-444-p0/apple_imageio/86127fbdb368eb28c3039cf61aff1c4cfdc4ade24070c8f2389968d5ead681e1.png,9.543567657,0.122477233
86127fbdb368eb28c3039cf61aff1c4cfdc4ade24070c8f2389968d5ead681e1.png,2048,976,25,444,0,208553,0.834692783,51760c09,3002000,jpegli,52.771032955,5.925921917,q025-444-p0/jpegli/86127fbdb368eb28c3039cf61aff1c4cfdc4ade24070c8f2389968d5ead681e1.png,9.494857788,0.122681201
86127fbdb368eb28c3039cf61aff1c4cfdc4ade24070c8f2389968d5ead681e1.png,2048,976,25,444,0,208553,0.834692783,51760c09,3002000,turbojpeg,53.292430507,5.378795147,q025-444-p0/turbojpeg/86127fbdb368eb28c3039cf61aff1c4cfdc4ade24070c8f2389968d5ead681e1.png,9.543354988,0.122585654
937476dd72f98638f34299dda5e9c252621b5e809c364692fc2934e000583286.png,2048,1536,25,444,0,539209,1.371279399,51760c09,3002000,apple_imageio,51.435097483,4.334662914,q025-444-p0/apple_imageio/937476dd72f98638f34299dda5e9c252621b5e809c364692fc2934e000583286.png,9.417209625,0.118890464
937476dd72f98638f34299dda5e9c252621b5e809c364692fc2934e000583286.png,2048,1536,25,444,0,539209,1.371279399,51760c09,3002000,jpegli,50.848219260,4.518955231,q025-444-p0/jpegli/937476dd72f98638f34299dda5e9c252621b5e809c364692fc2934e000583286.png,9.403394699,0.134012282
